,State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,date,order_code,Face_Masks_Required_in_Public,Source_of_Action,URL,Citation
518434,NC,Mecklenburg County,37,119,4/10/2020,2,,,,
518435,NC,Mecklenburg County,37,119,4/11/2020,2,,,,
518436,NC,Mecklenburg County,37,119,4/12/2020,2,,,,
518437,NC,Mecklenburg County,37,119,4/13/2020,2,,,,
518438,NC,Mecklenburg County,37,119,4/14/2020,2,,,,
518439,NC,Mecklenburg County,37,119,4/15/2020,2,,,,
518440,NC,Mecklenburg County,37,119,4/16/2020,2,,,,
518441,NC,Mecklenburg County,37,119,4/17/2020,2,,,,
518442,NC,Mecklenburg County,37,119,4/18/2020,2,,,,
518443,NC,Mecklenburg County,37,119,4/19/2020,2,,,,
518444,NC,Mecklenburg County,37,119,4/20/2020,2,,,,
518445,NC,Mecklenburg County,37,119,4/21/2020,2,,,,
518446,NC,Mecklenburg County,37,119,4/22/2020,2,,,,
518447,NC,Mecklenburg County,37,119,4/23/2020,2,,,,
518448,NC,Mecklenburg County,37,119,4/24/2020,2,,,,
518449,NC,Mecklenburg County,37,119,4/25/2020,2,,,,
518450,NC,Mecklenburg County,37,119,4/26/2020,2,,,,
518451,NC,Mecklenburg County,37,119,4/27/2020,2,,,,
518452,NC,Mecklenburg County,37,119,4/28/2020,2,,,,
518453,NC,Mecklenburg County,37,119,4/29/2020,2,,,,
518454,NC,Mecklenburg County,37,119,4/30/2020,2,,,,
518455,NC,Mecklenburg County,37,119,5/1/2020,2,,,,
518456,NC,Mecklenburg County,37,119,5/2/2020,2,,,,
518457,NC,Mecklenburg County,37,119,5/3/2020,2,,,,
518458,NC,Mecklenburg County,37,119,5/4/2020,2,,,,
518459,NC,Mecklenburg County,37,119,5/5/2020,2,,,,
518460,NC,Mecklenburg County,37,119,5/6/2020,2,,,,
518461,NC,Mecklenburg County,37,119,5/7/2020,2,,,,
518462,NC,Mecklenburg County,37,119,5/8/2020,2,,,,
518463,NC,Mecklenburg County,37,119,5/9/2020,2,,,,
518464,NC,Mecklenburg County,37,119,5/10/2020,2,,,,
518465,NC,Mecklenburg County,37,119,5/11/2020,2,,,,
518466,NC,Mecklenburg County,37,119,5/12/2020,2,,,,
518467,NC,Mecklenburg County,37,119,5/13/2020,2,,,,
518468,NC,Mecklenburg County,37,119,5/14/2020,2,,,,
518469,NC,Mecklenburg County,37,119,5/15/2020,2,,,,
518470,NC,Mecklenburg County,37,119,5/16/2020,2,,,,
518471,NC,Mecklenburg County,37,119,5/17/2020,2,,,,
518472,NC,Mecklenburg County,37,119,5/18/2020,2,,,,
518473,NC,Mecklenburg County,37,119,5/19/2020,2,,,,
518474,NC,Mecklenburg County,37,119,5/20/2020,2,,,,
518475,NC,Mecklenburg County,37,119,5/21/2020,2,,,,
518476,NC,Mecklenburg County,37,119,5/22/2020,2,,,,
518477,NC,Mecklenburg County,37,119,5/23/2020,2,,,,
518478,NC,Mecklenburg County,37,119,5/24/2020,2,,,,
